"Type-Algorithm","Time","Comparisons","Assignments","Array-Size"
"Cocktail-sort","86512000","29248810","48660726","8789"
"Shell-sort","926000","217482","277376","8790"
"Merge-sort","1072000","51195","230932","8790"
"Cocktail-sort","87039000","29214250","48543861","8790"
"Shell-sort","933000","215442","275343","8791"
"Merge-sort","1293000","51411","230962","8791"
"Cocktail-sort","87173000","29118592","48269866","8791"
"Shell-sort","923000","202866","262774","8792"
"Merge-sort","1068000","51406","230992","8792"
"Cocktail-sort","86808000","28859319","47632500","8792"
"Shell-sort","916000","211503","271418","8793"
"Merge-sort","1070000","51275","231022","8793"
"Cocktail-sort","89438000","29279644","48471312","8793"
"Shell-sort","904000","198160","258082","8794"
"Merge-sort","1068000","51443","231052","8794"
"Cocktail-sort","87495000","28632018","47779657","8794"
"Shell-sort","1032000","206448","266377","8795"
"Merge-sort","1069000","51310","231082","8795"
"Cocktail-sort","89142000","29542474","49042487","8795"
"Shell-sort","1242000","209039","268975","8796"
"Merge-sort","1503000","51384","231112","8796"
"Cocktail-sort","88897000","29000407","48492758","8796"
"Shell-sort","1028000","206490","266433","8797"
"Merge-sort","1113000","51418","231142","8797"
"Cocktail-sort","90588000","29358084","49176161","8797"
"Shell-sort","957000","212156","272106","8798"
"Merge-sort","1074000","51278","231172","8798"
"Cocktail-sort","88394000","29215034","48164775","8798"
"Shell-sort","911000","202301","262258","8799"
"Merge-sort","1130000","51476","231202","8799"
"Cocktail-sort","86916000","29000376","47867291","8799"
"Shell-sort","1063000","206035","265999","8800"
"Merge-sort","1068000","51364","231232","8800"
"Cocktail-sort","88196000","29070775","48310689","8800"
"Shell-sort","932000","221882","281853","8801"
"Merge-sort","1066000","51394","231262","8801"
"Cocktail-sort","87401000","29097140","48300198","8801"
"Shell-sort","948000","203482","263460","8802"
"Merge-sort","1094000","51402","231292","8802"
"Cocktail-sort","87519000","29136640","48291918","8802"
"Shell-sort","922000","211394","271379","8803"
"Merge-sort","1071000","51367","231322","8803"
"Cocktail-sort","87741000","29101572","48074197","8803"
"Shell-sort","914000","207559","267551","8804"
"Merge-sort","1070000","51599","231352","8804"
"Cocktail-sort","87981000","29237323","48599494","8804"
"Shell-sort","907000","202444","262443","8805"
"Merge-sort","1066000","51357","231382","8805"
"Cocktail-sort","87986000","29246128","48885286","8805"
"Shell-sort","912000","207412","267418","8806"
"Merge-sort","1091000","51373","231412","8806"
"Cocktail-sort","85917000","28978080","47998520","8806"
"Shell-sort","927000","217876","277889","8807"
"Merge-sort","1082000","51462","231442","8807"
"Cocktail-sort","87689000","29428812","48957872","8807"
"Shell-sort","927000","215479","275499","8808"
"Merge-sort","1063000","51413","231472","8808"
"Cocktail-sort","87708000","29101630","48089102","8808"
"Shell-sort","928000","208491","268518","8809"
"Merge-sort","1077000","51536","231502","8809"
"Cocktail-sort","87400000","29171968","48829879","8809"
"Shell-sort","922000","207940","267974","8810"
"Merge-sort","1067000","51483","231532","8810"
"Cocktail-sort","87635000","29338098","49082257","8810"
"Shell-sort","912000","203622","263663","8811"
"Merge-sort","1080000","51630","231562","8811"
"Cocktail-sort","87001000","29394720","48700681","8811"
"Shell-sort","922000","210091","270139","8812"
"Merge-sort","1072000","51524","231592","8812"
"Cocktail-sort","88044000","29438227","48639682","8812"
"Shell-sort","909000","205642","265697","8813"
"Merge-sort","1072000","51493","231622","8813"
"Cocktail-sort","86955000","28875300","48148495","8813"
"Shell-sort","922000","213137","273199","8814"
"Merge-sort","1068000","51460","231652","8814"
"Cocktail-sort","86278000","28879650","48110854","8814"
"Shell-sort","925000","213223","273292","8815"
"Merge-sort","1087000","51438","231682","8815"
"Cocktail-sort","87421000","29238000","48932506","8815"
"Shell-sort","932000","222050","282126","8816"
"Merge-sort","1069000","51517","231712","8816"
"Cocktail-sort","86695000","28950776","48120126","8816"
"Shell-sort","922000","211659","271742","8817"
"Merge-sort","1107000","51539","231742","8817"
"Cocktail-sort","87326000","29242472","48672533","8817"
"Shell-sort","905000","202751","262841","8818"
"Merge-sort","1084000","51428","231772","8818"
"Cocktail-sort","87949000","29132449","48325945","8818"
"Shell-sort","960000","201094","261191","8819"
"Merge-sort","1162000","51453","231802","8819"
"Cocktail-sort","95084000","29052768","48639565","8819"
"Shell-sort","926000","207516","267620","8820"
"Merge-sort","1136000","51583","231832","8820"
"Cocktail-sort","102024000","29373952","48982425","8820"
"Shell-sort","919000","206998","267109","8821"
"Merge-sort","1098000","51702","231862","8821"
"Cocktail-sort","87725000","29132400","48440789","8821"
"Shell-sort","920000","207293","267411","8822"
"Merge-sort","1068000","51530","231892","8822"
"Cocktail-sort","88354000","29114677","48333427","8822"
"Shell-sort","923000","209771","269896","8823"
"Merge-sort","2343000","51560","231922","8823"
"Cocktail-sort","87631000","29374214","48614816","8823"
"Shell-sort","896000","196350","256482","8824"
"Merge-sort","1072000","51542","231952","8824"
"Cocktail-sort","86829000","29105743","48215503","8824"
"Shell-sort","928000","213504","273643","8825"
"Merge-sort","1081000","51452","231982","8825"
"Cocktail-sort","88874000","29492108","49001657","8825"
"Shell-sort","920000","211776","271922","8826"
"Merge-sort","1071000","51615","232012","8826"
"Cocktail-sort","86633000","29282333","48352725","8826"
"Shell-sort","925000","213576","273729","8827"
"Merge-sort","1115000","51499","232042","8827"
"Cocktail-sort","87815000","29145514","48547084","8827"
"Shell-sort","917000","207471","267631","8828"
"Merge-sort","1070000","51398","232072","8828"
"Cocktail-sort","87723000","28985280","48398630","8828"
"Shell-sort","1168000","208423","268590","8829"
"Merge-sort","1468000","51576","232102","8829"
"Cocktail-sort","89373000","29483896","48717577","8829"
"Shell-sort","912000","203838","264012","8830"
"Merge-sort","1071000","51552","232132","8830"
"Cocktail-sort","87647000","29295648","48462638","8830"
"Shell-sort","956000","224173","284354","8831"
"Merge-sort","1269000","51582","232162","8831"
"Cocktail-sort","93880000","29501556","49244140","8831"
"Shell-sort","922000","213624","273812","8832"
"Merge-sort","1075000","51564","232192","8832"
"Cocktail-sort","89114000","29374840","48975023","8832"
"Shell-sort","929000","211948","272143","8833"
"Merge-sort","1127000","51529","232222","8833"
"Cocktail-sort","98871000","29140820","48619280","8833"
"Shell-sort","910000","202943","263145","8834"
"Merge-sort","1071000","51590","232252","8834"
"Cocktail-sort","89322000","29207328","48879745","8834"
"Shell-sort","933000","206790","266999","8835"
"Merge-sort","1081000","51622","232282","8835"
"Cocktail-sort","87829000","29432032","49215852","8835"
"Shell-sort","905000","202626","262842","8836"
"Merge-sort","1066000","51675","232312","8836"
"Cocktail-sort","86863000","29304576","49335508","8836"
"Shell-sort","910000","203784","264007","8837"
"Merge-sort","1086000","51669","232342","8837"
"Cocktail-sort","88204000","29475972","48888404","8837"
"Shell-sort","918000","208099","268329","8838"
"Merge-sort","1066000","51568","232372","8838"
"Cocktail-sort","90092000","29401504","48367652","8838"
"Shell-sort","1355000","209115","269352","8839"
"Merge-sort","1611000","51653","232402","8839"
"Cocktail-sort","94829000","29680848","48788228","8839"
"Shell-sort","925000","209619","269863","8840"
"Merge-sort","1122000","51578","232432","8840"
"Cocktail-sort","93661000","30151712","49671803","8840"
"Shell-sort","929000","213108","273359","8841"
"Merge-sort","1088000","51712","232462","8841"
"Cocktail-sort","93268000","29436808","49011102","8841"
"Shell-sort","1020000","204480","264738","8842"
"Merge-sort","1122000","51678","232492","8842"
"Cocktail-sort","90583000","29353197","48881108","8842"
"Shell-sort","918000","201548","261813","8843"
"Merge-sort","1091000","51643","232522","8843"
"Cocktail-sort","89318000","29720544","49103590","8843"
"Shell-sort","914000","207397","267669","8844"
"Merge-sort","1109000","51646","232552","8844"
"Cocktail-sort","90418000","29041583","48473591","8844"
"Shell-sort","913000","203122","263401","8845"
"Merge-sort","1075000","51783","232582","8845"
"Cocktail-sort","93294000","29295700","48951781","8845"
"Shell-sort","903000","199757","260043","8846"
"Merge-sort","1100000","51798","232612","8846"
"Cocktail-sort","91978000","29507360","48537297","8846"
"Shell-sort","919000","210013","270306","8847"
"Merge-sort","1096000","51634","232642","8847"
"Cocktail-sort","89245000","29503044","48931201","8847"
"Shell-sort","928000","216400","276700","8848"
"Merge-sort","1104000","51720","232672","8848"
"Cocktail-sort","90603000","29564487","48982224","8848"
"Shell-sort","1039000","211677","271984","8849"
"Merge-sort","1146000","51786","232702","8849"
"Cocktail-sort","93929000","29691150","49387835","8849"
"Shell-sort","925000","213092","273406","8850"
"Merge-sort","1093000","51802","232732","8850"
"Cocktail-sort","87157000","29054242","48367498","8850"
"Shell-sort","921000","211122","271443","8851"
"Merge-sort","1079000","51728","232762","8851"
"Cocktail-sort","88298000","29547216","48941623","8851"
"Shell-sort","916000","204146","264474","8852"
"Merge-sort","1080000","51700","232792","8852"
"Cocktail-sort","91355000","29656704","49374856","8852"
"Shell-sort","912000","205290","265625","8853"
"Merge-sort","1110000","51799","232822","8853"
"Cocktail-sort","88223000","29085292","48331008","8853"
"Shell-sort","920000","211361","271703","8854"
"Merge-sort","1087000","51724","232852","8854"
"Cocktail-sort","88710000","29538645","49043060","8854"
"Shell-sort","920000","202852","263201","8855"
"Merge-sort","1075000","51745","232882","8855"
"Cocktail-sort","88443000","29617692","48761122","8855"
"Shell-sort","918000","208360","268716","8856"
"Merge-sort","1121000","51739","232912","8856"
"Cocktail-sort","95689000","28990126","48215980","8856"
"Shell-sort","923000","205837","266200","8857"
"Merge-sort","1366000","51774","232942","8857"
"Cocktail-sort","103690000","29419632","48880836","8857"
"Shell-sort","905000","202770","263140","8858"
"Merge-sort","1095000","51735","232972","8858"
"Cocktail-sort","88743000","29604810","48935175","8858"
"Shell-sort","913000","205372","265749","8859"
"Merge-sort","1074000","51705","233002","8859"
"Cocktail-sort","89640000","29410762","48906424","8859"
"Shell-sort","916000","207327","267711","8860"
"Merge-sort","1081000","51781","233032","8860"
"Cocktail-sort","88753000","29653219","48964096","8860"
"Shell-sort","986000","204224","264615","8861"
"Merge-sort","1366000","51724","233062","8861"
"Cocktail-sort","93599000","29508132","48936608","8861"
"Shell-sort","932000","203870","264268","8862"
"Merge-sort","1095000","51727","233092","8862"
"Cocktail-sort","89203000","29605114","49420497","8862"
"Shell-sort","920000","209154","269559","8863"
"Merge-sort","1082000","51717","233122","8863"
"Cocktail-sort","92426000","29034046","48394488","8863"
"Shell-sort","907000","203613","264025","8864"
"Merge-sort","1080000","51724","233152","8864"
"Cocktail-sort","95475000","29463936","49262255","8864"
"Shell-sort","1123000","210633","271052","8865"
"Merge-sort","1159000","51799","233182","8865"
"Cocktail-sort","94845000","29867630","49812723","8865"
"Shell-sort","1146000","212356","272782","8866"
"Merge-sort","1201000","51836","233212","8866"
"Cocktail-sort","91550000","29348256","48524911","8866"
"Shell-sort","927000","213611","274044","8867"
"Merge-sort","1161000","51797","233242","8867"
"Cocktail-sort","90317000","29410594","48819621","8867"
"Shell-sort","969000","221745","282185","8868"
"Merge-sort","1081000","51788","233272","8868"
"Cocktail-sort","90840000","29406107","48583950","8868"
"Shell-sort","934000","215878","276325","8869"
"Merge-sort","1077000","51933","233302","8869"
"Cocktail-sort","90366000","29468340","48628026","8869"
"Shell-sort","948000","221644","282098","8870"
"Merge-sort","1088000","51978","233332","8870"
"Cocktail-sort","92491000","29851082","49070797","8870"
"Shell-sort","930000","210605","271066","8871"
"Merge-sort","1079000","51629","233362","8871"
"Cocktail-sort","90610000","29618860","49332084","8871"
"Shell-sort","918000","207550","268018","8872"
"Merge-sort","1085000","51750","233392","8872"
"Cocktail-sort","90747000","29684990","49425440","8872"
"Shell-sort","919000","208883","269358","8873"
"Merge-sort","1077000","51787","233422","8873"
"Cocktail-sort","93311000","29742180","49306581","8873"
"Shell-sort","917000","202946","263428","8874"
"Merge-sort","1076000","51838","233452","8874"
"Cocktail-sort","90587000","29570346","49149547","8874"
"Shell-sort","929000","215048","275537","8875"
"Merge-sort","1072000","51797","233482","8875"
"Cocktail-sort","88679000","29405768","48980291","8875"
"Shell-sort","973000","234681","295177","8876"
"Merge-sort","1099000","51875","233512","8876"
"Cocktail-sort","91907000","29808246","49644393","8876"
"Shell-sort","928000","207377","267880","8877"
"Merge-sort","1089000","51836","233542","8877"
"Cocktail-sort","96205000","29768904","49366922","8877"
"Shell-sort","937000","208442","268952","8878"
"Merge-sort","1078000","51939","233572","8878"
"Cocktail-sort","90104000","29663329","48825188","8878"
"Shell-sort","937000","208790","269307","8879"
"Merge-sort","1082000","51767","233602","8879"
"Cocktail-sort","91333000","29597008","48968623","8879"
"Shell-sort","925000","210547","271071","8880"
"Merge-sort","1088000","51921","233632","8880"
"Cocktail-sort","87954000","29441219","48813680","8880"
"Shell-sort","934000","217000","277531","8881"
"Merge-sort","1090000","51712","233662","8881"
"Cocktail-sort","89381000","29738472","49199135","8881"
"Shell-sort","921000","201916","262454","8882"
"Merge-sort","1074000","51804","233692","8882"
"Cocktail-sort","88770000","29645797","49084588","8882"
"Shell-sort","955000","231287","291832","8883"
"Merge-sort","1088000","51876","233722","8883"
"Cocktail-sort","92547000","29996944","49499094","8883"
"Shell-sort","1181000","206229","266781","8884"
"Merge-sort","1191000","52023","233752","8884"
"Cocktail-sort","101781000","29857383","49634896","8884"
"Shell-sort","908000","201405","261964","8885"
"Merge-sort","1089000","51858","233782","8885"
"Cocktail-sort","89049000","29632564","49398118","8885"
"Shell-sort","917000","207464","268030","8886"
"Merge-sort","1075000","51879","233812","8886"
"Cocktail-sort","88966000","29521313","49277031","8886"
"Shell-sort","920000","204114","264687","8887"
"Merge-sort","1094000","51831","233842","8887"
"Cocktail-sort","89943000","29632584","49509874","8887"
"Shell-sort","931000","211499","272079","8888"
"Merge-sort","1077000","52078","233872","8888"
"Cocktail-sort","90629000","30274759","49917535","8888"
"Shell-sort","947000","216478","277065","8889"
"Merge-sort","1105000","51819","233902","8889"
"Cocktail-sort","89191000","29543512","48830710","8889"
"Shell-sort","916000","203510","264104","8890"
"Merge-sort","1076000","51884","233932","8890"
"Cocktail-sort","89915000","29395549","49107578","8890"
"Shell-sort","919000","199040","259641","8891"
"Merge-sort","1102000","51940","233962","8891"
"Cocktail-sort","89603000","29910828","49795835","8891"
"Shell-sort","959000","220186","280794","8892"
"Merge-sort","1076000","51932","233992","8892"
"Cocktail-sort","89241000","29827414","49412511","8892"
"Shell-sort","931000","212116","272731","8893"
"Merge-sort","1106000","52025","234022","8893"
"Cocktail-sort","89383000","29699240","49602163","8893"
"Shell-sort","920000","202125","262747","8894"
"Merge-sort","1089000","51964","234052","8894"
"Cocktail-sort","89760000","29801090","49667574","8894"
"Shell-sort","943000","222404","283033","8895"
"Merge-sort","1111000","51908","234082","8895"
"Cocktail-sort","90566000","29677054","49298883","8895"
"Shell-sort","944000","215354","275990","8896"
"Merge-sort","1077000","52059","234112","8896"
"Cocktail-sort","88277000","29632526","48945733","8896"
"Shell-sort","922000","209866","270509","8897"
"Merge-sort","1094000","51954","234142","8897"
"Cocktail-sort","89117000","29730382","49364256","8897"
"Shell-sort","927000","215697","276347","8898"
"Merge-sort","1078000","52007","234172","8898"
"Cocktail-sort","90021000","29995002","49839945","8898"
"Shell-sort","954000","228039","288696","8899"
"Merge-sort","1143000","52047","234202","8899"
"Cocktail-sort","95200000","29885276","49601891","8899"
"Shell-sort","933000","212138","272802","8900"
"Merge-sort","1088000","52042","234232","8900"
"Cocktail-sort","90565000","29761515","49383990","8900"
"Shell-sort","932000","211753","272424","8901"
"Merge-sort","1077000","52029","234262","8901"
"Cocktail-sort","89818000","29907482","49442955","8901"
"Shell-sort","1290000","214733","275411","8902"
"Merge-sort","1613000","51988","234292","8902"
"Cocktail-sort","93311000","29699289","49818232","8902"
"Shell-sort","935000","212566","273251","8903"
"Merge-sort","1089000","52004","234322","8903"
"Cocktail-sort","89433000","29614416","49503854","8903"
"Shell-sort","926000","206555","267247","8904"
"Merge-sort","1149000","51995","234352","8904"
"Cocktail-sort","89112000","29916558","49564797","8904"
"Shell-sort","920000","206972","267671","8905"
"Merge-sort","1085000","51972","234382","8905"
"Cocktail-sort","88690000","29898984","49524252","8905"
"Shell-sort","956000","232663","293369","8906"
"Merge-sort","1085000","52024","234412","8906"
"Cocktail-sort","89159000","29524416","49370099","8906"
"Shell-sort","936000","206765","267478","8907"
"Merge-sort","1077000","51974","234442","8907"
"Cocktail-sort","90422000","30362026","50397950","8907"
"Shell-sort","930000","212368","273088","8908"
"Merge-sort","1110000","51931","234472","8908"
"Cocktail-sort","90574000","30167071","49715567","8908"
"Shell-sort","963000","201281","262008","8909"
"Merge-sort","1084000","52011","234502","8909"
"Cocktail-sort","90540000","30040308","49827440","8909"
"Shell-sort","941000","221603","282337","8910"
"Merge-sort","1103000","52013","234532","8910"
"Cocktail-sort","89512000","29770537","49283682","8910"
"Shell-sort","935000","220628","281369","8911"
"Merge-sort","1082000","52096","234562","8911"
"Cocktail-sort","89240000","29908222","49586432","8911"
"Shell-sort","947000","216342","277090","8912"
"Merge-sort","1088000","52139","234592","8912"
"Cocktail-sort","89685000","29622840","49174464","8912"
"Shell-sort","951000","218818","279573","8913"
"Merge-sort","1096000","52070","234622","8913"
"Cocktail-sort","89809000","29766062","49574862","8913"
"Shell-sort","929000","213662","274424","8914"
"Merge-sort","1104000","51958","234652","8914"
"Cocktail-sort","91354000","29881776","49870512","8914"
"Shell-sort","932000","209374","270143","8915"
"Merge-sort","1074000","52078","234682","8915"
"Cocktail-sort","91747000","30207634","50061903","8915"
"Shell-sort","1318000","210174","270950","8916"
"Merge-sort","1538000","52084","234712","8916"
"Cocktail-sort","96381000","29948363","49762499","8916"
"Shell-sort","920000","204813","265596","8917"
"Merge-sort","1077000","52171","234742","8917"
"Cocktail-sort","90996000","29761524","49656163","8917"
"Shell-sort","945000","221794","282584","8918"
"Merge-sort","1146000","52033","234772","8918"
"Cocktail-sort","89495000","29828480","49551360","8918"
"Shell-sort","916000","204074","264871","8919"
"Merge-sort","1092000","52111","234802","8919"
"Cocktail-sort","92532000","30217088","50192315","8919"
"Shell-sort","937000","208464","269268","8920"
"Merge-sort","1092000","52092","234832","8920"
"Cocktail-sort","91205000","29908632","49688772","8920"
"Shell-sort","930000","212606","273417","8921"
"Merge-sort","1077000","52135","234862","8921"
"Cocktail-sort","89072000","29806140","49301172","8921"
"Shell-sort","928000","211703","272521","8922"
"Merge-sort","1086000","52151","234892","8922"
"Cocktail-sort","88802000","29630992","49298467","8922"
"Shell-sort","930000","207916","268741","8923"
"Merge-sort","1076000","52053","234922","8923"
"Cocktail-sort","88527000","29953164","49284589","8923"
"Shell-sort","924000","208432","269264","8924"
"Merge-sort","1087000","52176","234952","8924"
"Cocktail-sort","88862000","29635303","49361364","8924"
"Shell-sort","927000","202062","262901","8925"
"Merge-sort","1078000","52069","234982","8925"
"Cocktail-sort","89841000","29815000","50109905","8925"
"Shell-sort","930000","211375","272221","8926"
"Merge-sort","1098000","52153","235012","8926"
"Cocktail-sort","90120000","30121506","50027892","8926"
"Shell-sort","926000","210633","271486","8927"
"Merge-sort","1093000","52191","235042","8927"
"Cocktail-sort","88627000","29548942","49342100","8927"
"Shell-sort","937000","218658","279518","8928"
"Merge-sort","1078000","52204","235072","8928"
"Cocktail-sort","89504000","30161387","50235405","8928"
"Shell-sort","921000","202651","263518","8929"
"Merge-sort","1086000","52187","235102","8929"
"Cocktail-sort","88561000","30002280","50315383","8929"
"Shell-sort","1001000","210274","271148","8930"
"Merge-sort","1087000","52258","235132","8930"
"Cocktail-sort","88910000","29962298","50063771","8930"
"Shell-sort","939000","216297","277178","8931"
"Merge-sort","1089000","52109","235162","8931"
"Cocktail-sort","90525000","30394012","50481344","8931"
"Shell-sort","919000","205488","266376","8932"
"Merge-sort","1097000","52316","235192","8932"
"Cocktail-sort","90449000","29868547","50019910","8932"
"Shell-sort","975000","218853","279748","8933"
"Merge-sort","1119000","52333","235222","8933"
"Cocktail-sort","90100000","30333306","50123544","8933"
"Shell-sort","927000","209669","270571","8934"
"Merge-sort","1087000","52250","235252","8934"
"Cocktail-sort","99958000","30166480","50199805","8934"
"Shell-sort","957000","228139","289048","8935"
"Merge-sort","1093000","52330","235282","8935"
"Cocktail-sort","90553000","29832572","49573998","8935"
"Shell-sort","927000","210795","271711","8936"
"Merge-sort","1087000","52260","235312","8936"
"Cocktail-sort","90250000","30184350","50257197","8936"
"Shell-sort","945000","222002","282925","8937"
"Merge-sort","1092000","52250","235342","8937"
"Cocktail-sort","89064000","29724304","49123627","8937"
"Shell-sort","928000","211911","272841","8938"
"Merge-sort","1080000","52282","235372","8938"
"Cocktail-sort","89718000","30197809","49808849","8938"
"Shell-sort","944000","218048","278985","8939"
"Merge-sort","1111000","52286","235402","8939"
"Cocktail-sort","91845000","30439338","50258325","8939"
"Shell-sort","927000","206975","267919","8940"
"Merge-sort","1075000","52203","235432","8940"
"Cocktail-sort","92131000","30096118","50036593","8940"
"Shell-sort","955000","214082","275033","8941"
"Merge-sort","1107000","52310","235462","8941"
"Cocktail-sort","90143000","30251100","50184645","8941"
"Shell-sort","927000","207890","268848","8942"
"Merge-sort","1077000","52262","235492","8942"
"Cocktail-sort","90540000","30426861","50289711","8942"
"Shell-sort","927000","212371","273336","8943"
"Merge-sort","1086000","52292","235522","8943"
"Cocktail-sort","91151000","30047284","49758845","8943"
"Shell-sort","938000","211381","272353","8944"
"Merge-sort","1081000","52331","235552","8944"
"Cocktail-sort","91756000","30531967","50645936","8944"
"Shell-sort","931000","209638","270617","8945"
"Merge-sort","1177000","52353","235582","8945"
"Cocktail-sort","89446000","30060712","50039001","8945"
"Shell-sort","944000","220867","281853","8946"
"Merge-sort","1093000","52227","235612","8946"
"Cocktail-sort","92857000","30180845","50006438","8946"
"Shell-sort","952000","212434","273427","8947"
"Merge-sort","1079000","52361","235642","8947"
"Cocktail-sort","90195000","29750360","49532034","8947"
"Shell-sort","924000","206578","267578","8948"
"Merge-sort","1089000","52225","235672","8948"
"Cocktail-sort","89665000","30287239","50490465","8948"
"Shell-sort","939000","214750","275757","8949"
"Merge-sort","1083000","52306","235702","8949"
"Cocktail-sort","90317000","30256412","49842272","8949"
"Shell-sort","920000","205474","266488","8950"
"Merge-sort","1094000","52257","235732","8950"
"Cocktail-sort","91748000","30283050","50566991","8950"
"Shell-sort","931000","213588","274609","8951"
"Merge-sort","1083000","52117","235762","8951"
"Cocktail-sort","89374000","30212278","50290294","8951"
"Shell-sort","926000","209307","270335","8952"
"Merge-sort","1087000","52310","235792","8952"
"Cocktail-sort","91362000","30476952","51121441","8952"
"Shell-sort","925000","208811","269846","8953"
"Merge-sort","1078000","52315","235822","8953"
"Cocktail-sort","89165000","29998054","49865862","8953"
"Shell-sort","910000","195455","256497","8954"
"Merge-sort","1095000","52407","235852","8954"
"Cocktail-sort","93497000","30261313","50314249","8954"
"Shell-sort","938000","214537","275586","8955"
"Merge-sort","1090000","52465","235882","8955"
"Cocktail-sort","91370000","30051850","49875032","8955"
"Shell-sort","933000","212758","273814","8956"
"Merge-sort","1086000","52454","235912","8956"
"Cocktail-sort","90393000","30168086","50115153","8956"
"Shell-sort","942000","216607","277670","8957"
"Merge-sort","1121000","52384","235942","8957"
"Cocktail-sort","89798000","30429524","50540325","8957"
"Shell-sort","936000","213762","274832","8958"
"Merge-sort","2369000","52359","235972","8958"
"Cocktail-sort","90008000","30015874","50299392","8958"
"Shell-sort","919000","204309","265386","8959"
"Merge-sort","1082000","52423","236002","8959"
"Cocktail-sort","95722000","30491400","50377279","8959"
"Shell-sort","949000","211944","273028","8960"
"Merge-sort","1086000","52511","236032","8960"
"Cocktail-sort","100964000","30601088","50672027","8960"
"Shell-sort","1234000","212090","273181","8961"
"Merge-sort","1459000","52419","236062","8961"
"Cocktail-sort","100908000","29889310","49983230","8961"
"Shell-sort","1222000","212876","273974","8962"
"Merge-sort","1112000","52452","236092","8962"
"Cocktail-sort","98100000","30509497","50525785","8962"
"Shell-sort","952000","212550","273655","8963"
"Merge-sort","1080000","52476","236122","8963"
"Cocktail-sort","93076000","29916292","50067846","8963"
"Shell-sort","1199000","209586","270698","8964"
"Merge-sort","1290000","52382","236152","8964"
"Cocktail-sort","95408000","30514240","50502236","8964"
"Shell-sort","926000","209109","270228","8965"
"Merge-sort","1121000","52459","236182","8965"
"Cocktail-sort","91178000","30426250","50260009","8965"
"Shell-sort","942000","217140","278266","8966"
"Merge-sort","1090000","52417","236212","8966"
"Cocktail-sort","90341000","30320010","50157532","8966"
"Shell-sort","953000","216383","277516","8967"
"Merge-sort","1131000","52442","236242","8967"
"Cocktail-sort","92669000","30235432","50154806","8967"
"Shell-sort","933000","210402","271542","8968"
"Merge-sort","1084000","52271","236272","8968"
"Cocktail-sort","98377000","30132462","50030351","8968"
"Shell-sort","1394000","215753","276900","8969"
"Merge-sort","1670000","52495","236302","8969"
"Cocktail-sort","99615000","30096480","49662970","8969"
"Shell-sort","954000","223048","284202","8970"
"Merge-sort","1086000","52509","236332","8970"
"Cocktail-sort","90855000","30037837","50095085","8970"
"Shell-sort","923000","206132","267293","8971"
"Merge-sort","1101000","52423","236362","8971"
"Cocktail-sort","89085000","29751220","49278332","8971"
"Shell-sort","944000","217524","278692","8972"
"Merge-sort","1084000","52573","236392","8972"
"Cocktail-sort","91826000","30427080","50653647","8972"
"Shell-sort","968000","213887","275062","8973"
"Merge-sort","1097000","52484","236422","8973"
"Cocktail-sort","90316000","30511252","50631937","8973"
"Shell-sort","961000","227755","288937","8974"
"Merge-sort","1085000","52416","236452","8974"
"Cocktail-sort","90388000","30347280","50694090","8974"
"Shell-sort","933000","211907","273096","8975"
"Merge-sort","1092000","52497","236482","8975"
"Cocktail-sort","92000000","30329512","50581037","8975"
"Shell-sort","918000","205355","266551","8976"
"Merge-sort","1089000","52585","236512","8976"
"Cocktail-sort","90286000","30431927","50280306","8976"
"Shell-sort","926000","209564","270767","8977"
"Merge-sort","1094000","52403","236542","8977"
"Cocktail-sort","90956000","30298344","50012678","8977"
"Shell-sort","934000","210493","271703","8978"
"Merge-sort","1083000","52570","236572","8978"
"Cocktail-sort","90999000","30498650","50626688","8978"
"Shell-sort","924000","203603","264820","8979"
"Merge-sort","1087000","52616","236602","8979"
"Cocktail-sort","90262000","29946316","49757969","8979"
"Shell-sort","954000","223721","284945","8980"
"Merge-sort","1092000","52440","236632","8980"
"Cocktail-sort","90906000","30213192","50039167","8980"
"Shell-sort","942000","216086","277317","8981"
"Merge-sort","1089000","52447","236662","8981"
"Cocktail-sort","90144000","30118500","50034826","8981"
"Shell-sort","931000","209208","270446","8982"
"Merge-sort","1097000","52522","236692","8982"
"Cocktail-sort","91241000","30574381","50854572","8982"
"Shell-sort","940000","217880","279125","8983"
"Merge-sort","1092000","52556","236722","8983"
"Cocktail-sort","91373000","30534694","50590117","8983"
"Shell-sort","923000","206000","267252","8984"
"Merge-sort","1100000","52534","236752","8984"
"Cocktail-sort","90661000","30649710","50939408","8984"
"Shell-sort","946000","218309","279568","8985"
"Merge-sort","1090000","52564","236782","8985"
"Cocktail-sort","90536000","30698308","50870125","8985"
"Shell-sort","959000","221652","282918","8986"
"Merge-sort","1091000","52547","236812","8986"
"Cocktail-sort","91023000","30383648","50560549","8986"
"Shell-sort","920000","199662","260935","8987"
"Merge-sort","1084000","52501","236842","8987"
"Cocktail-sort","90664000","30320986","50516174","8987"
"Shell-sort","925000","210070","271350","8988"
"Merge-sort","1099000","52611","236872","8988"
"Cocktail-sort","91229000","30641544","50494698","8988"
"Shell-sort","927000","206721","268008","8989"
"Merge-sort","1092000","52597","236902","8989"
"Cocktail-sort","90453000","30303042","50439969","8989"
"Shell-sort","942000","211413","272707","8990"
"Merge-sort","1093000","52662","236932","8990"
"Cocktail-sort","91154000","30176762","50238700","8990"
"Shell-sort","948000","218743","280044","8991"
"Merge-sort","1086000","52641","236962","8991"
