"Type-Algorithm","Time","Comparisons","Assignments","Array-Size"
"Shell-sort","31000","1376","1938","155"
"Merge-sort","82000","443","2278","155"
"Cocktail-sort","165000","9420","14662","155"
"Shell-sort","31000","1350","1916","156"
"Merge-sort","64000","462","2296","156"
"Cocktail-sort","170000","9280","14775","156"
"Shell-sort","46000","1504","2074","157"
"Merge-sort","47000","467","2314","157"
"Cocktail-sort","143000","9436","14897","157"
"Shell-sort","28000","1414","1988","158"
"Merge-sort","53000","468","2332","158"
"Cocktail-sort","142000","9201","15417","158"
"Shell-sort","42000","1360","1938","159"
"Merge-sort","51000","447","2350","159"
"Cocktail-sort","156000","10328","15589","159"
"Shell-sort","29000","1430","2012","160"
"Merge-sort","52000","473","2368","160"
"Cocktail-sort","168000","10815","17573","160"
"Shell-sort","28000","1416","2002","161"
"Merge-sort","55000","481","2386","161"
"Cocktail-sort","148000","9840","16153","161"
"Shell-sort","27000","1451","2041","162"
"Merge-sort","56000","483","2404","162"
"Cocktail-sort","165000","10309","15611","162"
"Shell-sort","31000","1430","2024","163"
"Merge-sort","58000","487","2422","163"
"Cocktail-sort","158000","10320","15737","163"
"Shell-sort","28000","1522","2120","164"
"Merge-sort","55000","498","2440","164"
"Cocktail-sort","168000","10856","17287","164"
"Shell-sort","30000","1481","2083","165"
"Merge-sort","54000","490","2458","165"
"Cocktail-sort","148000","9914","15788","165"
"Shell-sort","29000","1523","2129","166"
"Merge-sort","52000","501","2476","166"
"Cocktail-sort","176000","11533","18536","166"
"Shell-sort","27000","1481","2091","167"
"Merge-sort","56000","497","2494","167"
"Cocktail-sort","170000","10902","17567","167"
"Shell-sort","28000","1463","2077","168"
"Merge-sort","56000","490","2512","168"
"Cocktail-sort","164000","10584","16810","168"
"Shell-sort","31000","1553","2171","169"
"Merge-sort","55000","495","2530","169"
"Cocktail-sort","177000","11316","18020","169"
"Shell-sort","30000","1461","2083","170"
"Merge-sort","52000","497","2548","170"
"Cocktail-sort","169000","10665","17580","170"
"Shell-sort","34000","1569","2195","171"
"Merge-sort","81000","507","2566","171"
"Cocktail-sort","175000","11008","17409","171"
"Shell-sort","30000","1552","2182","172"
"Merge-sort","78000","507","2584","172"
"Cocktail-sort","176000","11179","17632","172"
"Shell-sort","31000","1596","2230","173"
"Merge-sort","51000","500","2602","173"
"Cocktail-sort","163000","10914","17709","173"
"Shell-sort","33000","1592","2230","174"
"Merge-sort","65000","517","2620","174"
"Cocktail-sort","165000","11266","17919","174"
"Shell-sort","35000","1615","2257","175"
"Merge-sort","83000","515","2638","175"
"Cocktail-sort","185000","11950","19042","175"
"Shell-sort","30000","1573","2219","176"
"Merge-sort","56000","544","2656","176"
"Cocktail-sort","191000","12675","20025","176"
"Shell-sort","32000","1678","2328","177"
"Merge-sort","59000","507","2674","177"
"Cocktail-sort","177000","11614","19822","177"
"Shell-sort","26000","1627","2281","178"
"Merge-sort","47000","544","2692","178"
"Cocktail-sort","156000","12144","20598","178"
"Shell-sort","28000","1673","2331","179"
"Merge-sort","47000","522","2710","179"
"Cocktail-sort","153000","12492","18997","179"
"Shell-sort","25000","1588","2250","180"
"Merge-sort","51000","533","2728","180"
"Cocktail-sort","156000","12415","19768","180"
"Shell-sort","28000","1623","2289","181"
"Merge-sort","49000","539","2746","181"
"Cocktail-sort","164000","12508","20502","181"
"Shell-sort","28000","1699","2369","182"
"Merge-sort","51000","553","2764","182"
"Cocktail-sort","147000","11857","19047","182"
"Shell-sort","31000","1721","2395","183"
"Merge-sort","60000","570","2782","183"
"Cocktail-sort","182000","13132","21471","183"
"Shell-sort","26000","1644","2322","184"
"Merge-sort","50000","570","2800","184"
"Cocktail-sort","159000","12787","20395","184"
"Shell-sort","30000","1840","2522","185"
"Merge-sort","54000","580","2818","185"
"Cocktail-sort","164000","12972","20557","185"
"Shell-sort","27000","1702","2388","186"
"Merge-sort","50000","564","2836","186"
"Cocktail-sort","162000","12496","20377","186"
"Shell-sort","27000","1682","2372","187"
"Merge-sort","49000","584","2854","187"
"Cocktail-sort","183000","14122","23666","187"
"Shell-sort","29000","1739","2433","188"
"Merge-sort","57000","570","2872","188"
"Cocktail-sort","182000","13887","24305","188"
"Shell-sort","29000","1761","2459","189"
"Merge-sort","54000","590","2890","189"
"Cocktail-sort","183000","13900","21428","189"
"Shell-sort","42000","1728","2430","190"
"Merge-sort","62000","584","2908","190"
"Cocktail-sort","170000","13149","20772","190"
"Shell-sort","27000","1780","2486","191"
"Merge-sort","49000","589","2926","191"
"Cocktail-sort","183000","14960","23853","191"
"Shell-sort","31000","1980","2690","192"
"Merge-sort","54000","590","2944","192"
"Cocktail-sort","194000","15070","24398","192"
"Shell-sort","28000","1720","2434","193"
"Merge-sort","52000","596","2962","193"
"Cocktail-sort","177000","13920","21948","193"
"Shell-sort","36000","1910","2628","194"
"Merge-sort","58000","604","2980","194"
"Cocktail-sort","175000","13200","21297","194"
"Shell-sort","29000","1830","2552","195"
"Merge-sort","50000","593","2998","195"
"Cocktail-sort","184000","14594","22092","195"
"Shell-sort","31000","1980","2706","196"
"Merge-sort","58000","624","3016","196"
"Cocktail-sort","193000","15423","25206","196"
"Shell-sort","30000","1855","2585","197"
"Merge-sort","54000","623","3034","197"
"Cocktail-sort","187000","14504","23506","197"
"Shell-sort","73000","1918","2652","198"
"Merge-sort","57000","616","3052","198"
"Cocktail-sort","203000","15089","23788","198"
"Shell-sort","30000","2024","2762","199"
"Merge-sort","52000","604","3070","199"
"Cocktail-sort","194000","15382","25883","199"
"Shell-sort","28000","1823","2565","200"
"Merge-sort","53000","620","3088","200"
"Cocktail-sort","191000","15768","24593","200"
"Shell-sort","23000","1978","2724","201"
"Merge-sort","54000","627","3106","201"
"Cocktail-sort","173000","15100","23494","201"
"Shell-sort","29000","1946","2696","202"
"Merge-sort","54000","636","3124","202"
"Cocktail-sort","177000","14570","23272","202"
"Shell-sort","199000","2016","2770","203"
"Merge-sort","54000","638","3142","203"
"Cocktail-sort","173000","15802","25730","203"
"Shell-sort","28000","1892","2650","204"
"Merge-sort","56000","645","3160","204"
"Cocktail-sort","180000","15083","23731","204"
"Shell-sort","26000","1808","2570","205"
"Merge-sort","52000","654","3178","205"
"Cocktail-sort","193000","16210","26255","205"
"Shell-sort","29000","1931","2697","206"
"Merge-sort","53000","643","3196","206"
"Cocktail-sort","201000","16513","26930","206"
"Shell-sort","31000","2039","2809","207"
"Merge-sort","56000","661","3214","207"
"Cocktail-sort","202000","16120","26809","207"
"Shell-sort","31000","1985","2759","208"
"Merge-sort","60000","664","3232","208"
"Cocktail-sort","188000","15691","25275","208"
"Shell-sort","29000","2019","2797","209"
"Merge-sort","55000","643","3250","209"
"Cocktail-sort","193000","16116","26323","209"
"Shell-sort","31000","2054","2836","210"
"Merge-sort","55000","651","3268","210"
"Cocktail-sort","226000","17050","26033","210"
"Shell-sort","34000","2097","2883","211"
"Merge-sort","57000","651","3286","211"
"Cocktail-sort","205000","16852","26822","211"
"Shell-sort","32000","2069","2859","212"
